Metal,Ligand,Multiplicity,fElectrons,CovalentRadius_pm,Electronegativity,SpinOrbit_eV,ADCH_metal,WBO_M_O_avg,WBO_M_C_avg,Ligand_propionate,HOMO_eV,LUMO_eV,Gap_eV,EA_eV,I_eV,Hardness_eV,Softness_inv_eV,ChemPot_eV,Electroph_eV,File
Th,propionate,1,0,206,1.3,0.18,1.10937391,1.0037587866666666,0.4211934566666667,1,-11.665672932710605,-5.531980019339679,6.1336929133709255,5.531980019339679,11.665672932710605,3.0668464566854627,0.3260678400837725,-8.598826476025142,12.054698174342652,Th Propionate M1.fchk
Pa,propionate,2,1,200,1.5,0.21,1.11938038,0.9837376983333334,0.4000035433333333,1,-8.932072690512136,-7.412777593499782,1.5192950970123542,7.412777593499782,8.932072690512136,0.7596475485061771,1.3163999567516125,-8.17242514200596,43.96021078000493,Pa Propionate M2.fchk
U,propionate,3,2,196,1.38,0.24,1.06529728,0.9563444416666668,0.37346958,1,-8.712983833266936,-7.474995475752715,1.2379883575142203,7.474995475752715,8.712983833266936,0.6189941787571103,1.615524078122864,-8.093989654509826,52.91864671397733,U Propionate M3 .fchk
Np,propionate,4,3,190,1.36,0.27,1.05806895,0.9544016183333333,0.37390047,1,-10.407737186874604,-7.052283189366902,3.355453997507702,7.052283189366902,10.407737186874604,1.677726998753851,0.5960445297374127,-8.730010188120753,22.713194083811068,Np Propionate M4.fchk
Pu,propionate,5,4,187,1.28,0.3,1.10048322,1.0539049116666668,0.2352621,1,-9.255891669896831,-7.960366196734784,1.2955254731620487,7.960366196734784,9.255891669896831,0.6477627365810243,1.5437751255623773,-8.60812893331581,57.1967786567174,Pu_propionate_M5.fchk
Am,propionate,2,5,180,1.3,0.33,1.13902503,1.0539560883333334,0.2388097433333333,1,-10.683979778546815,-9.4785210006065,1.2054587779403168,9.4785210006065,10.683979778546815,0.6027293889701584,1.6591193631832524,-10.08125038957666,84.30948554789272,Am Propionate M2.fchk
Cm,propionate,1,6,169,1.3,0.36,1.38369277,1.0208558850000002,0.22884743500000002,1,-11.86956379535524,-8.043539050519414,3.826024744835827,8.043539050519414,11.86956379535524,1.9130123724179136,0.5227357723442584,-9.956551422937329,25.910160767099025,Cm Propionate M1.fchk
Bk,propionate,2,7,168,1.3,0.39,1.06746197,0.9696815533333334,0.3657732233333333,1,-10.552807917009911,-8.9064496873041,1.6463582297058128,8.9064496873041,10.552807917009911,0.8231791148529064,1.2148024433038362,-9.729628802157006,57.50004763220878,Bk Propionate M2.fchk
Cf,propionate,3,8,168,1.3,0.42,1.22721916,0.9055218549999999,0.33441497000000003,1,-10.89855257970786,-9.368094065910864,1.5304585137969973,9.368094065910864,10.89855257970786,0.7652292568984986,1.3067979183820486,-10.133323322809362,67.09377656362425,Cf_propionate_M3.fchk
Es,propionate,4,9,165,1.3,0.45,1.15370774,0.8646019950000001,0.32455375000000003,1,-10.978106482390093,-9.93545944207588,1.0426470403142094,9.93545944207588,10.978106482390093,0.5213235201571047,1.918194674390756,-10.456782962232984,104.87183648101502,Es_propionate_M4.fchk
Fm,propionate,3,10,167,1.3,0.48,1.06201318,1.0263723183333333,0.2380650983333333,1,-11.21638701333825,-9.757283720393112,1.459103292945139,9.757283720393112,11.21638701333825,0.7295516464725695,1.370704877214747,-10.48683536686568,75.37075445136409,Fm_propionate_M3.fchk
Md,propionate,4,11,173,1.3,0.51,1.07745885,0.7935745266666667,0.29778513666666667,1,-11.637144569793085,-9.807253186257611,1.82989138353547,9.807253186257611,11.637144569793085,0.914945691767735,1.0929610456637426,-10.722198878025347,62.82643320490809,Md_propionate_M4.fchk
No,propionate,3,12,176,1.3,0.54,1.03442082,0.7044058366666666,0.25157043,1,-11.49949585410191,-10.338173944652588,1.161321909449322,10.338173944652588,11.49949585410191,0.5806609547246611,1.7221753793901675,-10.918834899377249,102.65969718627886,No_propionate_M3.fchk
Lr,propionate,2,13,161,1.3,0.57,0.83641599,0.7603328366666666,0.2950296533333333,1,-11.415434711824668,-10.804160035991831,0.6112746758328367,10.804160035991831,11.415434711824668,0.3056373379164183,3.271851557199032,-11.10979737390825,201.9183888505337,Lr Propionate M2.fchk
